Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B10",Absolute Quantification,"","M19 - Ga",Ch1Unknown,"FAM","Manual",9.8,ddPCR Supermix for Probes (no dUTP),196,,,11.7,8.9,109,13002,,,,,,13111,,,,,,,,,,,,,,,,,,1,1,4199,5746.7,294.07,339.4,"",,,,11,0,,,,,,,,,,,,,
"B11",Absolute Quantification,"","M20 - Ga",Ch1Unknown,"FAM","Manual",5,ddPCR Supermix for Probes (no dUTP),100,,,6.4,4.4,57,13339,,,,,,13396,,,,,,,,,,,,,,,,,,1,1,4199,6173.6,314.03,338.96,"",,,,5.7,0,,,,,,,,,,,,,
"B12",Absolute Quantification,"","M21 - Ga",Ch1Unknown,"FAM","Manual",2.5,ddPCR Supermix for Probes (no dUTP),50,,,3.5,2,29,13776,,,,,,13805,,,,,,,,,,,,,,,,,,1,1,4199,5513.5,302.45,313.39,"",,,,3,0,,,,,,,,,,,,,
"C09",Absolute Quantification,"","M17 - Br",Ch1Unknown,"FAM","Manual",2.6,ddPCR Supermix for Probes (no dUTP),52,,,3.6,2.2,33,14984,,,,,,15017,,,,,,,,,,,,,,,,,,1,1,4199,6214,308.25,321.23,"",,,,3.1,0,,,,,,,,,,,,,
"C10",Absolute Quantification,"","M19 - Br",Ch1Unknown,"FAM","Manual",0.33,ddPCR Supermix for Probes (no dUTP),6.6,,,0.88,0.17,3,10661,,,,,,10664,,,,,,,,,,,,,,,,,,1,1,4199,4607.6,210.39,211.62,"",,,,0.57,0,,,,,,,,,,,,,
"C11",Absolute Quantification,"","M20 - Br",Ch1Unknown,"FAM","Manual",0.26,ddPCR Supermix for Probes (no dUTP),5.2,,,0.69,0.14,3,13489,,,,,,13492,,,,,,,,,,,,,,,,,,1,1,4199,6171.2,307.93,309.23,"",,,,0.45,0,,,,,,,,,,,,,
"C12",Absolute Quantification,"","M21 - Br",Ch1Unknown,"FAM","Manual",1.8,ddPCR Supermix for Probes (no dUTP),36,,,2.7,1.5,21,13519,,,,,,13540,,,,,,,,,,,,,,,,,,1,1,4199,5661.2,305.75,314.05,"",,,,2.3,0,,,,,,,,,,,,,
"D09",Absolute Quantification,"","M17 - Ta",Ch1Unknown,"FAM","Manual",10.6,ddPCR Supermix for Probes (no dUTP),212,,,12.5,9.7,129,14216,,,,,,14345,,,,,,,,,,,,,,,,,,1,1,4199,6178.1,302.88,355.72,"",,,,12,0,,,,,,,,,,,,,
"D10",Absolute Quantification,"","M19 - Ta",Ch1Unknown,"FAM","Manual",1.2,ddPCR Supermix for Probes (no dUTP),24,,,1.9,0.9,15,14549,,,,,,14564,,,,,,,,,,,,,,,,,,1,1,4199,5981.4,300.56,306.41,"",,,,1.6,0,,,,,,,,,,,,,
"D11",Absolute Quantification,"","M20 - Ta",Ch1Unknown,"FAM","Manual",8.9,ddPCR Supermix for Probes (no dUTP),178,,,10.8,8.1,98,12837,,,,,,12935,,,,,,,,,,,,,,,,,,1,1,4199,5912,302.1,344.6,"",,,,9.9,0,,,,,,,,,,,,,
"D12",Absolute Quantification,"","M21 - Ta",Ch1Unknown,"FAM","Manual",15,ddPCR Supermix for Probes (no dUTP),300,,,17.2,13.9,182,14168,,,,,,14350,,,,,,,,,,,,,,,,,,1,1,4199,5943.7,302.95,374.49,"",,,,16,0,,,,,,,,,,,,,
"E09",Absolute Quantification,"","M18 - Fe",Ch1Unknown,"FAM","Manual",2,ddPCR Supermix for Probes (no dUTP),40,,,2.9,1.7,26,15120,,,,,,15146,,,,,,,,,,,,,,,,,,1,1,4199,6052.4,305.84,315.7,"",,,,2.4,0,,,,,,,,,,,,,
"E10",Absolute Quantification,"","P - clean",Ch1Positive Control,"FAM","Manual",281,ddPCR Supermix for Probes (no dUTP),5620,,,290,276,3138,11652,,,,,,14790,,,,,,,,,,,,,,,,,,1,1,4199,5848.8,306.87,1482.7,"",,,,290,0,,,,,,,,,,,,,
"E11",Absolute Quantification,"","P - dirty (M15)",Ch1Positive Control,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,13949,,,,,,13949,,,,,,,,,,,,,,,,,,1,1,4199,0,308.16,308.16,"",,,,0.12,0,,,,,,,,,,,,,
"E12",Absolute Quantification,"","P - clean",Ch1Positive Control,"FAM","Manual",277,ddPCR Supermix for Probes (no dUTP),5540,,,288,271,2530,9532,,,,,,12062,,,,,,,,,,,,,,,,,,1,1,4199,5556,330.92,1426.9,"",,,,280,0,,,,,,,,,,,,,
"F09",Absolute Quantification,"","M18 - Ga",Ch1Unknown,"FAM","Manual",7.3,ddPCR Supermix for Probes (no dUTP),146,,,8.9,6.6,99,15836,,,,,,15935,,,,,,,,,,,,,,,,,,1,1,4199,6229,310.7,347.47,"",,,,8.1,0,,,,,,,,,,,,,
"F10",Absolute Quantification,"","P - clean",Ch1Positive Control,"FAM","Manual",271,ddPCR Supermix for Probes (no dUTP),5420,,,280,266,3256,12587,,,,,,15843,,,,,,,,,,,,,,,,,,1,1,4199,5936.1,309.37,1465.8,"",,,,280,0,,,,,,,,,,,,,
"F11",Absolute Quantification,"","P - dirty (M16)",Ch1Positive Control,"FAM","Manual",0.09,ddPCR Supermix for Probes (no dUTP),1.8,,,0.42,0.02,1,13290,,,,,,13291,,,,,,,,,,,,,,,,,,1,1,4199,6573.6,309.28,309.76,"",,,,0.22,0,,,,,,,,,,,,,
"F12",Absolute Quantification,"","N - clean",Ch1Negative Control,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.24,0,0,14401,,,,,,14401,,,,,,,,,,,,,,,,,,1,1,4199,0,303.65,303.65,"",,,,0.11,0,,,,,,,,,,,,,
"G09",Absolute Quantification,"","M18 - Br",Ch1Unknown,"FAM","Manual",1.6,ddPCR Supermix for Probes (no dUTP),32,,,2.3,1.3,22,16398,,,,,,16420,,,,,,,,,,,,,,,,,,1,1,4199,5999,302.83,310.46,"",,,,1.9,0,,,,,,,,,,,,,
"G10",Absolute Quantification,"","N - clean",Ch1Negative Control,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.23,0,0,15055,,,,,,15055,,,,,,,,,,,,,,,,,,1,1,4199,0,310.6,310.6,"",,,,0.11,0,,,,,,,,,,,,,
"G11",Absolute Quantification,"","P - dirty (M17)",Ch1Positive Control,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.24,0,0,14450,,,,,,14450,,,,,,,,,,,,,,,,,,1,1,4199,0,302.68,302.68,"",,,,0.11,0,,,,,,,,,,,,,
"G12",Absolute Quantification,"","N - dirty",Ch1Negative Control,"FAM","Manual",0.07,ddPCR Supermix for Probes (no dUTP),1.4,,,0.34,0.02,1,16597,,,,,,16598,,,,,,,,,,,,,,,,,,1,1,4199,5737,295.98,296.3,"",,,,0.18,0,,,,,,,,,,,,,
"H09",Absolute Quantification,"","M18  - Ta",Ch1Unknown,"FAM","Manual",3.4,ddPCR Supermix for Probes (no dUTP),68,,,4.5,2.9,44,15360,,,,,,15404,,,,,,,,,,,,,,,,,,1,1,4199,5972,299.64,315.84,"",,,,3.9,0,,,,,,,,,,,,,
"H10",Absolute Quantification,"","N - clean",Ch1Negative Control,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.22,0,0,16344,,,,,,16344,,,,,,,,,,,,,,,,,,1,1,4199,0,306.88,306.88,"",,,,0.099,0,,,,,,,,,,,,,
"H11",Absolute Quantification,"","P - dirty (M18)",Ch1Positive Control,"FAM","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.37,0.02,1,15235,,,,,,15236,,,,,,,,,,,,,,,,,,1,1,4199,5464.9,303.43,303.77,"",,,,0.19,0,,,,,,,,,,,,,
"H12",Absolute Quantification,"","N - dirty",Ch1Negative Control,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.22,0,0,15951,,,,,,15951,,,,,,,,,,,,,,,,,,1,1,4199,0,305.9,305.9,"",,,,0.1,0,,,,,,,,,,,,,
