Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A05",Absolute Quantification,"","Ta73 - A (1)",Ch1Unknown,"FAM","Manual",0.95,ddPCR Supermix for Probes (no dUTP),19,,,1.68,0.68,10,12369,,,,,,12379,,,,,,,,,,,,,,,,,,1,1,3572,7274.8,1688.7,1693.2,"",,,,1.3,0,,,,,,,,,,,,,
"A06",Absolute Quantification,"","Ta74 - A",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.23,0,0,15211,,,,,,15211,,,,,,,,,,,,,,,,,,1,1,3572,0,1724.2,1724.2,"",,,,0.11,0,,,,,,,,,,,,,
"A07",Absolute Quantification,"","M25 - Fe",Ch1Unknown,"FAM","Manual",0.53,ddPCR Supermix for Probes (no dUTP),10.6,,,1.09,0.34,6,13261,,,,,,13267,,,,,,,,,,,,,,,,,,1,1,3572,6628.3,1745.5,1747.7,"",,,,0.78,0,,,,,,,,,,,,,
"B02",Absolute Quantification,"","Fe75 C (2)",Ch1Unknown,"FAM","Manual",0.37,ddPCR Supermix for Probes (no dUTP),7.4,,,0.99,0.19,3,9488,,,,,,9491,,,,,,,,,,,,,,,,,,1,1,3572,6632.1,1567.9,1569.5,"",,,,0.64,0,,,,,,,,,,,,,
"B03",Absolute Quantification,"","Ga74 - B",Ch1Unknown,"FAM","Manual",1.7,ddPCR Supermix for Probes (no dUTP),34,,,2.6,1.4,19,12882,,,,,,12901,,,,,,,,,,,,,,,,,,1,1,3572,7184.6,1706.4,1714.4,"",,,,2.2,0,,,,,,,,,,,,,
"B04",Absolute Quantification,"","Br74 - A",Ch1Unknown,"FAM","Manual",0.17,ddPCR Supermix for Probes (no dUTP),3.4,,,0.53,0.07,2,14128,,,,,,14130,,,,,,,,,,,,,,,,,,1,1,3572,6710.2,1720.4,1721.1,"",,,,0.32,0,,,,,,,,,,,,,
"B05",Absolute Quantification,"","Ta73 - A (2)",Ch1Unknown,"FAM","Manual",1.3,ddPCR Supermix for Probes (no dUTP),26,,,2.4,0.9,9,7943,,,,,,7952,,,,,,,,,,,,,,,,,,1,1,3572,6976,1628.1,1634.2,"",,,,1.8,0,,,,,,,,,,,,,
"B06",Absolute Quantification,"","Ta74 - B",Ch1Unknown,"FAM","Manual",1.37,ddPCR Supermix for Probes (no dUTP),27.4,,,2.07,1.09,20,17123,,,,,,17143,,,,,,,,,,,,,,,,,,1,1,3572,4618.5,1217.8,1221.7,"",,,,1.7,0,,,,,,,,,,,,,
"B07",Absolute Quantification,"","M25 - Ga",Ch1Unknown,"FAM","Manual",0.88,ddPCR Supermix for Probes (no dUTP),17.6,,,1.52,0.64,11,14624,,,,,,14635,,,,,,,,,,,,,,,,,,1,1,3572,6949.7,1726.9,1730.9,"",,,,1.2,0,,,,,,,,,,,,,
"C02",Absolute Quantification,"","Fe75C (3)",Ch1Unknown,"FAM","Manual",0.42,ddPCR Supermix for Probes (no dUTP),8.4,,,0.91,0.26,5,14024,,,,,,14029,,,,,,,,,,,,,,,,,,1,1,3572,7073.5,1696.3,1698.2,"",,,,0.64,0,,,,,,,,,,,,,
"C03",Absolute Quantification,"","Ga74 - C",Ch1Unknown,"FAM","Manual",1.09,ddPCR Supermix for Probes (no dUTP),21.8,,,1.8,0.82,13,14007,,,,,,14020,,,,,,,,,,,,,,,,,,1,1,3572,7303.6,1710.5,1715.7,"",,,,1.4,0,,,,,,,,,,,,,
"C04",Absolute Quantification,"","Br74 - B",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,14210,,,,,,14210,,,,,,,,,,,,,,,,,,1,1,3572,0,1743.3,1743.3,"",,,,0.11,0,,,,,,,,,,,,,
"C05",Absolute Quantification,"","Ta73 - A (3)",Ch1Unknown,"FAM","Manual",0.59,ddPCR Supermix for Probes (no dUTP),11.8,,,1.16,0.4,7,13849,,,,,,13856,,,,,,,,,,,,,,,,,,1,1,3572,6988.8,1688.9,1691.6,"",,,,0.85,0,,,,,,,,,,,,,
"C06",Absolute Quantification,"","Ta74 - C",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.23,0,0,15027,,,,,,15027,,,,,,,,,,,,,,,,,,1,1,3572,0,1736.8,1736.8,"",,,,0.11,0,,,,,,,,,,,,,
"C07",Absolute Quantification,"","M25 - Br",Ch1Unknown,"FAM","Manual",0.25,ddPCR Supermix for Probes (no dUTP),5,,,0.66,0.13,3,14186,,,,,,14189,,,,,,,,,,,,,,,,,,1,1,3572,6403.9,1731.9,1732.9,"",,,,0.43,0,,,,,,,,,,,,,
"D02",Absolute Quantification,"","Ga73 - A (1)",Ch1Unknown,"FAM","Manual",0.88,ddPCR Supermix for Probes (no dUTP),17.6,,,1.55,0.63,10,13355,,,,,,13365,,,,,,,,,,,,,,,,,,1,1,3572,7458.9,1682.8,1687.2,"",,,,1.2,0,,,,,,,,,,,,,
"D03",Absolute Quantification,"","Ga75 - A",Ch1Unknown,"FAM","Manual",0.76,ddPCR Supermix for Probes (no dUTP),15.2,,,1.38,0.54,9,13876,,,,,,13885,,,,,,,,,,,,,,,,,,1,1,3572,7409.4,1717.2,1720.9,"",,,,1,0,,,,,,,,,,,,,
"D04",Absolute Quantification,"","Br74 - C",Ch1Unknown,"FAM","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.39,0.02,1,14298,,,,,,14299,,,,,,,,,,,,,,,,,,1,1,3572,3616.3,1772.4,1772.5,"",,,,0.2,0,,,,,,,,,,,,,
"D05",Absolute Quantification,"","Ta73 - B",Ch1Unknown,"FAM","Manual",0.09,ddPCR Supermix for Probes (no dUTP),1.8,,,0.43,0.02,1,13092,,,,,,13093,,,,,,,,,,,,,,,,,,1,1,3572,6461.7,1671,1671.3,"",,,,0.22,0,,,,,,,,,,,,,
"D06",Absolute Quantification,"","Ta75 - A",Ch1Unknown,"FAM","Manual",3.4,ddPCR Supermix for Probes (no dUTP),68,,,4.6,2.9,42,14464,,,,,,14506,,,,,,,,,,,,,,,,,,1,1,3572,4871.6,1236.2,1246.8,"",,,,4,0,,,,,,,,,,,,,
"D07",Absolute Quantification,"","M25 - Ta",Ch1Unknown,"FAM","Manual",0.74,ddPCR Supermix for Probes (no dUTP),14.8,,,1.34,0.52,9,14341,,,,,,14350,,,,,,,,,,,,,,,,,,1,1,3572,6798.7,1701.8,1705,"",,,,1,0,,,,,,,,,,,,,
"E02",Absolute Quantification,"","Ga73 - A (2)",Ch1Unknown,"FAM","Manual",0.68,ddPCR Supermix for Probes (no dUTP),13.6,,,1.27,0.46,8,13902,,,,,,13910,,,,,,,,,,,,,,,,,,1,1,3572,7753.1,1699.1,1702.6,"",,,,0.95,0,,,,,,,,,,,,,
"E03",Absolute Quantification,"","Ga 75 - B",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.24,0,0,14538,,,,,,14538,,,,,,,,,,,,,,,,,,1,1,3572,0,1719.5,1719.5,"",,,,0.11,0,,,,,,,,,,,,,
"E04",Absolute Quantification,"","Br75 - A",Ch1Unknown,"FAM","Manual",0.24,ddPCR Supermix for Probes (no dUTP),4.8,,,0.64,0.12,3,14678,,,,,,14681,,,,,,,,,,,,,,,,,,1,1,3572,7365.8,1733.6,1734.7,"",,,,0.41,0,,,,,,,,,,,,,
"E05",Absolute Quantification,"","Ta73 - C",Ch1Unknown,"FAM","Manual",0.17,ddPCR Supermix for Probes (no dUTP),3.4,,,0.55,0.07,2,13759,,,,,,13761,,,,,,,,,,,,,,,,,,1,1,3572,7345.6,1702,1702.9,"",,,,0.33,0,,,,,,,,,,,,,
"E06",Absolute Quantification,"","Ta75 - B",Ch1Unknown,"FAM","Manual",0.07,ddPCR Supermix for Probes (no dUTP),1.4,,,0.32,0.02,1,17773,,,,,,17774,,,,,,,,,,,,,,,,,,1,1,3572,4357.2,1091.5,1091.7,"",,,,0.16,0,,,,,,,,,,,,,
"E07",Absolute Quantification,"","N - dirty (M2)",Ch1Negative Control,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.21,0,0,16461,,,,,,16461,,,,,,,,,,,,,,,,,,1,1,3572,0,1714.6,1714.6,"",,,,0.098,0,,,,,,,,,,,,,
"F02",Absolute Quantification,"","Ga73 - A (3)",Ch1Unknown,"FAM","Manual",1.1,ddPCR Supermix for Probes (no dUTP),22,,,1.9,0.8,13,13450,,,,,,13463,,,,,,,,,,,,,,,,,,1,1,3572,7467.7,1711.9,1717.5,"",,,,1.5,0,,,,,,,,,,,,,
"F03",Absolute Quantification,"","Ga75 - C",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,14245,,,,,,14245,,,,,,,,,,,,,,,,,,1,1,3572,0,1681.8,1681.8,"",,,,0.11,0,,,,,,,,,,,,,
"F04",Absolute Quantification,"","Br75 - B",Ch1Unknown,"FAM","Manual",0.09,ddPCR Supermix for Probes (no dUTP),1.8,,,0.42,0.02,1,13463,,,,,,13464,,,,,,,,,,,,,,,,,,1,1,3572,6405,1776,1776.4,"",,,,0.22,0,,,,,,,,,,,,,
"F05",Absolute Quantification,"","Fe70 - A",Ch1Unknown,"FAM","Manual",0.28,ddPCR Supermix for Probes (no dUTP),5.6,,,0.73,0.14,3,12762,,,,,,12765,,,,,,,,,,,,,,,,,,1,1,3572,6049.8,1677.4,1678.5,"",,,,0.47,0,,,,,,,,,,,,,
"F06",Absolute Quantification,"","Ta75 - C",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18678,,,,,,18678,,,,,,,,,,,,,,,,,,1,1,3572,0,1227.7,1227.7,"",,,,0.086,0,,,,,,,,,,,,,
"F07",Absolute Quantification,"","N - dirty (M1)",Ch1Negative Control,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.24,0,0,14463,,,,,,14463,,,,,,,,,,,,,,,,,,1,1,3572,0,1711,1711,"",,,,0.11,0,,,,,,,,,,,,,
"G02",Absolute Quantification,"","Ga 73 - B",Ch1Unknown,"FAM","Manual",2.6,ddPCR Supermix for Probes (no dUTP),52,,,3.7,2.2,30,13437,,,,,,13467,,,,,,,,,,,,,,,,,,1,1,3572,7197.3,1704.9,1717.1,"",,,,3.1,0,,,,,,,,,,,,,
"G03",Absolute Quantification,"","Br73 - A",Ch1Unknown,"FAM","Manual",1.7,ddPCR Supermix for Probes (no dUTP),34,,,2.6,1.4,21,14397,,,,,,14418,,,,,,,,,,,,,,,,,,1,1,3572,6896.7,1686.5,1694.1,"",,,,2.1,0,,,,,,,,,,,,,
"G04",Absolute Quantification,"","Br75 - C",Ch1Unknown,"FAM","Manual",0.42,ddPCR Supermix for Probes (no dUTP),8.4,,,0.9,0.25,5,14154,,,,,,14159,,,,,,,,,,,,,,,,,,1,1,3572,6693.5,1755.8,1757.6,"",,,,0.63,0,,,,,,,,,,,,,
"G05",Absolute Quantification,"","P - clean",Ch1Positive Control,"FAM","Manual",297,ddPCR Supermix for Probes (no dUTP),5940,,,307,292,3479,12119,,,,,,15598,,,,,,,,,,,,,,,,,,1,1,3572,6453.2,1686.2,2749.4,"",,,,300,0,,,,,,,,,,,,,
"G06",Absolute Quantification,"","P - clean",Ch1Positive Control,"FAM","Manual",165.7,ddPCR Supermix for Probes (no dUTP),3314,,,171.9,162.6,2783,18397,,,,,,21180,,,,,,,,,,,,,,,,,,1,1,3572,4012.3,1152.5,1528.3,"",,,,170,0,,,,,,,,,,,,,
"G07",Absolute Quantification,"","P - dirty (M24)",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.64,0,0,5536,,,,,,5536,,,,,,,,,,,,,,,,,,1,1,3572,0,1594.6,1594.6,"",,,,0.29,0,,,,,,,,,,,,,
"H02",Absolute Quantification,"","Ga 73 - C",Ch1Unknown,"FAM","Manual",2.2,ddPCR Supermix for Probes (no dUTP),44,,,3.3,1.8,25,13082,,,,,,13107,,,,,,,,,,,,,,,,,,1,1,3572,7723.6,1713.3,1724.8,"",,,,2.7,0,,,,,,,,,,,,,
"H03",Absolute Quantification,"","Br73 - B",Ch1Unknown,"FAM","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.38,0.02,1,14819,,,,,,14820,,,,,,,,,,,,,,,,,,1,1,3572,6881.5,1677,1677.3,"",,,,0.2,0,,,,,,,,,,,,,
"H04",Absolute Quantification,"","P - clean",Ch1Positive Control,"FAM","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.37,0.02,1,15322,,,,,,15323,,,,,,,,,,,,,,,,,,1,1,3572,6526,1701.4,1701.7,"",,,,0.19,0,,,,,,,,,,,,,
"H05",Absolute Quantification,"","N - clean",Ch1Negative Control,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.24,0,0,14632,,,,,,14632,,,,,,,,,,,,,,,,,,1,1,3572,0,1656.1,1656.1,"",,,,0.11,0,,,,,,,,,,,,,
"H06",Absolute Quantification,"","N - clean",Ch1Negative Control,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.21,0,0,16807,,,,,,16807,,,,,,,,,,,,,,,,,,1,1,3572,0,1226.1,1226.1,"",,,,0.096,0,,,,,,,,,,,,,
"H07",Absolute Quantification,"","P - dirty (M25)",Ch1Unknown,"FAM","Manual",0.07,ddPCR Supermix for Probes (no dUTP),1.4,,,0.34,0.02,1,16361,,,,,,16362,,,,,,,,,,,,,,,,,,1,1,3572,3737.1,1703.7,1703.8,"",,,,0.18,0,,,,,,,,,,,,,
