Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A05,Absolute Quantification,,M13 - Br C,Ch1Unknown,FAM,Manual,0.1,ddPCR Supermix for Probes (no dUTP),2,,,0.49,0,1,11517,,,,,,11518,,,,,,,,,,,,,,,,,,1,1,7141,7762.5,1207.7,1208.3,,,,,0.25,0.03,,,,,,,,,,,,
A06,Absolute Quantification,,P - dirty (M8),Ch1Positive Control,FAM,Manual,0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.39,0,1,14410,,,,,,14411,,,,,,,,,,,,,,,,,,1,1,7141,8404.5,1207,1207.5,,,,,0.2,0.02,,,,,,,,,,,,
B02,Absolute Quantification,,M10 - Ga,Ch1Unknown,FAM,Manual,2.9,ddPCR Supermix for Probes (no dUTP),58,,,3.9,2.5,43,17304,,,,,,17347,,,,,,,,,,,,,,,,,,1,1,7141,8799.7,1206.1,1224.9,,,,,3.4,0,,,,,,,,,,,,
B03,Absolute Quantification,,M12 - Ga,Ch1Unknown,FAM,Manual,2.8,ddPCR Supermix for Probes (no dUTP),56,,,4,2.4,31,12869,,,,,,12900,,,,,,,,,,,,,,,,,,1,1,7141,8703.8,1224.5,1242.4,,,,,3.4,0,,,,,,,,,,,,
B04,Absolute Quantification,,M13 - Fe B,Ch1Unknown,FAM,Manual,0.09,ddPCR Supermix for Probes (no dUTP),1.8,,,0.44,0.03,1,12721,,,,,,12722,,,,,,,,,,,,,,,,,,1,1,7141,7819.5,1226.6,1227.1,,,,,0.23,0,,,,,,,,,,,,
B05,Absolute Quantification,,M13 - Ta A,Ch1Unknown,FAM,Manual,0.34,ddPCR Supermix for Probes (no dUTP),6.8,,,0.8,0.1,4,13791,,,,,,13795,,,,,,,,,,,,,,,,,,1,1,7141,8354.8,1198.3,1200.4,,,,,0.54,0.2,,,,,,,,,,,,
B06,Absolute Quantification,,P - dirty (M9),Ch1Positive Control,FAM,Manual,0.25,ddPCR Supermix for Probes (no dUTP),5,,,0.66,0.06,3,14148,,,,,,14151,,,,,,,,,,,,,,,,,,1,1,7141,8037.9,1213.6,1215,,,,,0.43,0.13,,,,,,,,,,,,
C02,Absolute Quantification,,M10 - Br,Ch1Unknown,FAM,Manual,0.57,ddPCR Supermix for Probes (no dUTP),11.4,,,1.07,0.39,8,16438,,,,,,16446,,,,,,,,,,,,,,,,,,1,1,7141,8969.5,1221.2,1224.9,,,,,0.8,0,,,,,,,,,,,,
C03,Absolute Quantification,,M12 - Br,Ch1Unknown,FAM,Manual,2.1,ddPCR Supermix for Probes (no dUTP),42,,,3.1,1.7,25,13899,,,,,,13924,,,,,,,,,,,,,,,,,,1,1,7141,8698.6,1226.5,1239.9,,,,,2.6,0,,,,,,,,,,,,
C04,Absolute Quantification,,M13 - Fe C,Ch1Unknown,FAM,Manual,0.18,ddPCR Supermix for Probes (no dUTP),3.6,,,0.57,0.08,2,13169,,,,,,13171,,,,,,,,,,,,,,,,,,1,1,7141,9022.5,1243.9,1245.1,,,,,0.34,0,,,,,,,,,,,,
C05,Absolute Quantification,,M13 - Ta B,Ch1Unknown,FAM,Manual,0.09,ddPCR Supermix for Probes (no dUTP),1.8,,,0.42,0,1,13226,,,,,,13227,,,,,,,,,,,,,,,,,,1,1,7141,7878.2,1197.8,1198.3,,,,,0.22,0.02,,,,,,,,,,,,
C06,Absolute Quantification,,P - dirty (M10),Ch1Positive Control,FAM,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,13974,,,,,,13974,,,,,,,,,,,,,,,,,,1,1,7141,0,1198.7,1198.7,,,,,0.12,0,,,,,,,,,,,,
D02,Absolute Quantification,,M10 - Ta,Ch1Unknown,FAM,Manual,0.54,ddPCR Supermix for Probes (no dUTP),10.8,,,1.05,0.36,7,15235,,,,,,15242,,,,,,,,,,,,,,,,,,1,1,7141,8845.1,1223.3,1226.8,,,,,0.77,0,,,,,,,,,,,,
D03,Absolute Quantification,,M12 - Ta,Ch1Unknown,FAM,Manual,3.1,ddPCR Supermix for Probes (no dUTP),62,,,4.2,2.6,36,13703,,,,,,13739,,,,,,,,,,,,,,,,,,1,1,7141,8680.1,1228.1,1247.7,,,,,3.6,0,,,,,,,,,,,,
D04,Absolute Quantification,,M13 - Ga A,Ch1Unknown,FAM,Manual,1.4,ddPCR Supermix for Probes (no dUTP),28,,,2.2,0.8,14,12174,,,,,,12188,,,,,,,,,,,,,,,,,,1,1,7141,8792.9,1248.6,1257.3,,,,,1.75,1.02,,,,,,,,,,,,
D05,Absolute Quantification,,M13 - Ta C,Ch1Unknown,FAM,Manual,0.17,ddPCR Supermix for Probes (no dUTP),3.4,,,0.53,0.03,2,14207,,,,,,14209,,,,,,,,,,,,,,,,,,1,1,7141,8572.9,1206.8,1207.9,,,,,0.32,0.07,,,,,,,,,,,,
D06,Absolute Quantification,,P - dirty (M11),Ch1Positive Control,FAM,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.22,0,0,16230,,,,,,16230,,,,,,,,,,,,,,,,,,1,1,7141,0,1216.9,1216.9,,,,,0.099,0,,,,,,,,,,,,
E02,Absolute Quantification,,M11 - Fe,Ch1Unknown,FAM,Manual,2.1,ddPCR Supermix for Probes (no dUTP),42,,,3,1.3,23,13078,,,,,,13101,,,,,,,,,,,,,,,,,,1,1,7141,8966.2,1236.1,1249.7,,,,,2.53,1.67,,,,,,,,,,,,
E03,Absolute Quantification,,P - clean (A),Ch1Positive Control,FAM,Manual,604,ddPCR Supermix for Probes (no dUTP),12080,,,620,596,5608,8356,,,,,,13964,,,,,,,,,,,,,,,,,,1,1,7141,8472.8,1234.5,4141.4,,,,,610,0,,,,,,,,,,,,
E04,Absolute Quantification,,M13 - Ga B,Ch1Unknown,FAM,Manual,1.7,ddPCR Supermix for Probes (no dUTP),34,,,2.6,1,18,12703,,,,,,12721,,,,,,,,,,,,,,,,,,1,1,7141,8733.6,1269.2,1279.7,,,,,2.09,1.3,,,,,,,,,,,,
E05,Absolute Quantification,,M14 - Fe,Ch1Unknown,FAM,Manual,1.5,ddPCR Supermix for Probes (no dUTP),30,,,2.3,0.9,18,13965,,,,,,13982,,,,,,,,,,,,,,,,,,1,1,7141,8144.7,1204.5,1213,,,,,1.81,1.11,,,,,,,,,,,,
E06,Absolute Quantification,,P - dirty (M12),Ch1Positive Control,FAM,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.23,0,0,15650,,,,,,15650,,,,,,,,,,,,,,,,,,1,1,7141,0,1211.4,1211.4,,,,,0.1,0,,,,,,,,,,,,
F02,Absolute Quantification,,M11 - Ga,Ch1Unknown,FAM,Manual,8.1,ddPCR Supermix for Probes (no dUTP),162,,,10,6.5,86,12426,,,,,,12512,,,,,,,,,,,,,,,,,,1,1,7141,8855.5,1225.8,1278.3,,,,,9,7.3,,,,,,,,,,,,
F03,Absolute Quantification,,P - clean (B),Ch1Positive Control,FAM,Manual,449,ddPCR Supermix for Probes (no dUTP),8980,,,462,442,4829,10393,,,,,,15222,,,,,,,,,,,,,,,,,,1,1,7141,8770.3,1247.9,3634.3,,,,,460,0,,,,,,,,,,,,
F04,Absolute Quantification,,M13 - Ga C,Ch1Unknown,FAM,Manual,1.4,ddPCR Supermix for Probes (no dUTP),28,,,2.2,0.9,17,13867,,,,,,13884,,,,,,,,,,,,,,,,,,1,1,7141,8695.6,1239.8,1248.9,,,,,1.82,1.12,,,,,,,,,,,,
F05,Absolute Quantification,,M14 - Ga,Ch1Unknown,FAM,Manual,2.1,ddPCR Supermix for Probes (no dUTP),42,,,3.1,1.4,25,13808,,,,,,13833,,,,,,,,,,,,,,,,,,1,1,7141,8303.8,1193.6,1206.5,,,,,2.58,1.73,,,,,,,,,,,,
F06,Absolute Quantification,,P - clean (C),Ch1Positive Control,FAM,Manual,470,ddPCR Supermix for Probes (no dUTP),9400,,,483,457,5195,10583,,,,,,15778,,,,,,,,,,,,,,,,,,1,1,7141,8204,1231.3,3527.1,,,,,476,463,,,,,,,,,,,,
G02,Absolute Quantification,,M11 - Br,Ch1Unknown,FAM,Manual,8,ddPCR Supermix for Probes (no dUTP),160,,,9.8,7.1,83,12179,,,,,,12262,,,,,,,,,,,,,,,,,,1,1,7141,8876.8,1233.9,1285.7,,,,,8.9,0,,,,,,,,,,,,
G03,Absolute Quantification,,N - clean,Ch1Negative Control,FAM,Manual,0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.37,0,1,15088,,,,,,15089,,,,,,,,,,,,,,,,,,1,1,7141,8828,1234.2,1234.7,,,,,0.19,0.02,,,,,,,,,,,,
G04,Absolute Quantification,,M13 - Br A,Ch1Unknown,FAM,Manual,0.17,ddPCR Supermix for Probes (no dUTP),3.4,,,0.53,0.03,2,14107,,,,,,14109,,,,,,,,,,,,,,,,,,1,1,7141,8536.6,1234.5,1235.6,,,,,0.32,0.07,,,,,,,,,,,,
G05,Absolute Quantification,,M14 - Br,Ch1Unknown,FAM,Manual,0.16,ddPCR Supermix for Probes (no dUTP),3.2,,,0.52,0.02,2,14633,,,,,,14635,,,,,,,,,,,,,,,,,,1,1,7141,8234.3,1218.5,1219.5,,,,,0.31,0.07,,,,,,,,,,,,
G06,Absolute Quantification,,N - dirty (M4),Ch1Negative Control,FAM,Manual,0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.36,0,1,15543,,,,,,15544,,,,,,,,,,,,,,,,,,1,1,7141,7812.5,1209,1209.4,,,,,0.19,0.02,,,,,,,,,,,,
H02,Absolute Quantification,,M11 - Ta,Ch1Unknown,FAM,Manual,1.3,ddPCR Supermix for Probes (no dUTP),26,,,2.2,1,12,10572,,,,,,10584,,,,,,,,,,,,,,,,,,1,1,7141,9014.2,1244.2,1253,,,,,1.8,0,,,,,,,,,,,,
H03,Absolute Quantification,,N - clean,Ch1Negative Control,FAM,Manual,0.15,ddPCR Supermix for Probes (no dUTP),3,,,0.48,0.02,2,15659,,,,,,15661,,,,,,,,,,,,,,,,,,1,1,7141,9136.7,1246.7,1247.7,,,,,0.29,0.07,,,,,,,,,,,,
H04,Absolute Quantification,,M13 - Br B,Ch1Unknown,FAM,Manual,0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.4,0,1,14124,,,,,,14125,,,,,,,,,,,,,,,,,,1,1,7141,9036.4,1257.9,1258.5,,,,,0.21,0.02,,,,,,,,,,,,
H05,Absolute Quantification,,M14 - Ta,Ch1Unknown,FAM,Manual,0.51,ddPCR Supermix for Probes (no dUTP),10.2,,,1.04,0.2,6,13926,,,,,,13932,,,,,,,,,,,,,,,,,,1,1,7141,8410.7,1207.8,1210.9,,,,,0.75,0.33,,,,,,,,,,,,
H06,Absolute Quantification,,N - dirty (M5),Ch1Negative Control,FAM,Manual,0.07,ddPCR Supermix for Probes (no dUTP),1.4,,,0.33,0,1,16840,,,,,,16841,,,,,,,,,,,,,,,,,,1,1,7141,7486.4,1178.4,1178.8,,,,,0.17,0.02,,,,,,,,,,,,
