date (weighed),mesocosm.id,species,species.id,aboveground.biomass
September 14. 2024,19,Gaillardia,Ga.56,1.69
September 14. 2024,19,Gaillardia,Ga.57,1.75
September 14. 2024,20,Gaillardia,Ga.58,0.1
September 14. 2024,20,Gaillardia,Ga.59,1.36
September 14. 2024,20,Gaillardia,Ga.60,8.41
September 16. 2024,21,Gaillardia,Ga.61,4.49
September 16. 2024,21,Gaillardia,Ga.62,6.35
September 16. 2024,21,Gaillardia,Ga.63,1.53
September 16. 2024,22,Gaillardia,Ga.64,1.74
September 16. 2024,22,Gaillardia,Ga.65,0.21
September 16. 2024,22,Gaillardia,Ga.66,16.51
September 16. 2024,23,Gaillardia,Ga.67,3.59
September 16. 2024,23,Gaillardia,Ga.68,3.22
September 16. 2024,23,Gaillardia,Ga.69,3.75
September 16. 2024,24,Gaillardia,Ga.70,4.9
September 16. 2024,24,Gaillardia,Ga.71,3.36
September 16. 2024,24,Gaillardia,Ga.72,4.76
September 16. 2024,25,Gaillardia,Ga.73,2.99
September 16. 2024,25,Gaillardia,Ga.74,3
September 16. 2024,25,Gaillardia,Ga.75,3.87
September 16. 2024,26,Gaillardia,Ga.76,2.58
September 16. 2024,26,Gaillardia,Ga.77,8.71
September 16. 2024,26,Gaillardia,Ga.78,1.19
September 16. 2024,27,Gaillardia,Ga.79,0.44
September 16. 2024,27,Gaillardia,Ga.80,4.62
September 16. 2024,27,Gaillardia,Ga.81,8.03
September 16. 2024,28,Gaillardia,Ga.82,2.37
September 16. 2024,28,Gaillardia,Ga.83,0.78
September 16. 2024,28,Gaillardia,Ga.84,9.84
September.14.2024,1,Bromus,Br.1,7.38
September 14. 2024,1,Bromus,Br.2,7.01
September 14. 2024,1,Bromus,Br.3,NA
September 14. 2024,3,Bromus,Br.4,3.75
September 14. 2024,3,Bromus,Br.5,21.6
September 14. 2024,3,Bromus,Br.6,NA
September 14. 2024,2,Bromus,Br.7,14.73
September 14. 2024,2,Bromus,Br.8,11.46
September 14. 2024,2,Bromus,Br.9,NA
September 14. 2024,4,Bromus,Br.10,8.49
September 14. 2024,4,Bromus,Br.11,7.4
September 14. 2024,4,Bromus,Br.12,11.82
September 14. 2024,5,Bromus,Br.13,10.4
September 14. 2024,5,Bromus,Br.14,8.76
September 14. 2024,5,Bromus,Br.15,11.6
September 14. 2024,6,Bromus,Br.16,7.28
September 14. 2024,6,Bromus,Br.17,14.54
September 14. 2024,6,Bromus,Br.18,21.1
September 14. 2024,7,Bromus,Br.19,7.26
September 14. 2024,7,Bromus,Br.20,10.88
September 14. 2024,7,Bromus,Br.21,NA
September 14. 2024,8,Bromus,Br.22,8.87
September 14. 2024,8,Bromus,Br.23,8.11
September 14. 2024,8,Bromus,Br.24,25.25
September 14. 2024,9,Bromus,Br.25,13.89
September 14. 2024,9,Bromus,Br.26,15.28
September 14. 2024,9,Bromus,Br.27,6.83
September 14. 2024,10,Bromus,Br.28,6.7
September 14. 2024,10,Bromus,Br.29,15.72
September 14. 2024,10,Bromus,Br.30,6.55
September 14. 2024,11,Bromus,Br.31,5.72
September 14. 2024,11,Bromus,Br.32,NA
September 14. 2024,11,Bromus,Br.33,16.38
September 14. 2024,12,Bromus,Br.34,14.11
September 14. 2024,12,Bromus,Br.35,13.72
September 14. 2024,12,Bromus,Br.36,18.15
September 14. 2024,13,Bromus,Br.37,11.41
September 14. 2024,13,Bromus,Br.38,14.25
September 14. 2024,13,Bromus,Br.39,2.46
September 14. 2024,14,Bromus,Br.40,21.74
September 14. 2024,14,Bromus,Br.41,6.96
September 14. 2024,14,Bromus,Br.42,17.14
September 14. 2024,15,Bromus,Br.43,4.49
September 14. 2024,15,Bromus,Br.44,14.83
September 14. 2024,15,Bromus,Br.45,NA
September 14. 2024,16,Bromus,Br.46,7.03
September 14. 2024,16,Bromus,Br.47,17.79
September 14. 2024,16,Bromus,Br.48,10.05
September 14. 2024,17,Bromus,Br.49,7.38
September 14. 2024,17,Bromus,Br.50,NA
September 14. 2024,17,Bromus,Br.51,9.15
September 14. 2024,18,Bromus,Br.52,8.02
September 14. 2024,18,Bromus,Br.53,NA
September 14. 2024,18,Bromus,Br.54,NA
September 14. 2024,19,Bromus,Br.55,0.13
September 14. 2024,19,Bromus,Br.56,10.04
September 14. 2024,19,Bromus,Br.57,11.35
September 14. 2024,20,Bromus,Br.58,NA
September 14. 2024,20,Bromus,Br.59,12.4
September 14. 2024,20,Bromus,Br.60,NA
September 16. 2024,21,Bromus,Br.61,NA
September 16. 2024,21,Bromus,Br.62,16.48
September 16. 2024,21,Bromus,Br.63,3.72
September 16. 2024,22,Bromus,Br.64,NA
September 16. 2024,22,Bromus,Br.65,16.91
September 16. 2024,22,Bromus,Br.66,NA
September 16. 2024,23,Bromus,Br.67,12.23
September 16. 2024,23,Bromus,Br.68,3.5
September 16. 2024,23,Bromus,Br.69,14.99
September 16. 2024,24,Bromus,Br.70,4.69
September 16. 2024,24,Bromus,Br.71,3.52
September 16. 2024,24,Bromus,Br.72,16.25
September 16. 2024,25,Bromus,Br.73,5.31
September 16. 2024,25,Bromus,Br.74,4.86
September 16. 2024,25,Bromus,Br.75,14.65
September 16. 2024,26,Bromus,Br.76,NA
September 16. 2024,26,Bromus,Br.77,NA
September 16. 2024,26,Bromus,Br.78,12.99
September 16. 2024,27,Bromus,Br.79,0.53
September 16. 2024,27,Bromus,Br.80,15.26
September 16. 2024,27,Bromus,Br.81,8.57
September 16. 2024,28,Bromus,Br.82,12.29
September 16. 2024,28,Bromus,Br.83,NA
September 16. 2024,28,Bromus,Br.84,11.19
September.14.2024,1,Festuca,Fe.1,9.26
September 14. 2024,1,Festuca,Fe.2,10.65
September 14. 2024,1,Festuca,Fe.3,11.28
September 14. 2024,3,Festuca,Fe.4,26.78
September 14. 2024,3,Festuca,Fe.5,6.07
September 14. 2024,3,Festuca,Fe.6,27.5
September 14. 2024,2,Festuca,Fe.7,18.95
September 14. 2024,2,Festuca,Fe.8,12.83
September 14. 2024,2,Festuca,Fe.9,8.84
September 14. 2024,4,Festuca,Fe.10,12.7
September 14. 2024,4,Festuca,Fe.11,8.77
September 14. 2024,4,Festuca,Fe.12,7.54
September 14. 2024,5,Festuca,Fe.13,8.11
September 14. 2024,5,Festuca,Fe.14,19.54
September 14. 2024,5,Festuca,Fe.15,7.55
September 14. 2024,6,Festuca,Fe.16,3.28
September 14. 2024,6,Festuca,Fe.17,10.93
September 14. 2024,6,Festuca,Fe.18,16.62
September 14. 2024,7,Festuca,Fe.19,7.01
September 14. 2024,7,Festuca,Fe.20,4
September 14. 2024,7,Festuca,Fe.21,30.36
September 14. 2024,8,Festuca,Fe.22,5.85
September 14. 2024,8,Festuca,Fe.23,3.09
September 14. 2024,8,Festuca,Fe.24,28.68
September 14. 2024,9,Festuca,Fe.25,16.27
September 14. 2024,9,Festuca,Fe.26,19.69
September 14. 2024,9,Festuca,Fe.27,12.09
September 14. 2024,10,Festuca,Fe.28,7.86
September 14. 2024,10,Festuca,Fe.29,14.3
September 14. 2024,10,Festuca,Fe.30,31.43
September 14. 2024,11,Festuca,Fe.31,7.25
September 14. 2024,11,Festuca,Fe.32,7.51
September 14. 2024,11,Festuca,Fe.33,6.09
September 14. 2024,12,Festuca,Fe.34,9.6
September 14. 2024,12,Festuca,Fe.35,12.58
September 14. 2024,12,Festuca,Fe.36,9.01
September 14. 2024,13,Festuca,Fe.37,3.07
September 14. 2024,13,Festuca,Fe.38,11.75
September 14. 2024,13,Festuca,Fe.39,19.53
September 14. 2024,14,Festuca,Fe.40,20.99
September 14. 2024,14,Festuca,Fe.41,16.79
September 14. 2024,14,Festuca,Fe.42,3.83
September 14. 2024,15,Festuca,Fe.43,5.58
September 14. 2024,15,Festuca,Fe.44,8.68
September 14. 2024,15,Festuca,Fe.45,24.34
September 14. 2024,16,Festuca,Fe.46,1.29
September 14. 2024,16,Festuca,Fe.47,13.56
September 14. 2024,16,Festuca,Fe.48,10
September 14. 2024,17,Festuca,Fe.49,11.15
September 14. 2024,17,Festuca,Fe.50,27.93
September 14. 2024,17,Festuca,Fe.51,14.66
September 14. 2024,18,Festuca,Fe.52,28.25
September 14. 2024,18,Festuca,Fe.53,16.06
September 14. 2024,18,Festuca,Fe.54,14.93
September 14. 2024,19,Festuca,Fe.55,3.12
September 14. 2024,19,Festuca,Fe.56,9.63
September 14. 2024,19,Festuca,Fe.57,6.82
September 14. 2024,20,Festuca,Fe.58,16.35
September 14. 2024,20,Festuca,Fe.59,6.22
September 14. 2024,20,Festuca,Fe.60,13.84
September 16. 2024,21,Festuca,Fe.61,9.88
September 16. 2024,21,Festuca,Fe.62,31.28
September 16. 2024,21,Festuca,Fe.63,5.83
September 16. 2024,22,Festuca,Fe.64,5.94
September 16. 2024,22,Festuca,Fe.65,22.6
September 16. 2024,22,Festuca,Fe.66,9.52
September 16. 2024,23,Festuca,Fe.67,8.88
September 16. 2024,23,Festuca,Fe.68,16.78
September 16. 2024,23,Festuca,Fe.69,15.17
September 16. 2024,24,Festuca,Fe.70,5.77
September 16. 2024,24,Festuca,Fe.71,18.87
September 16. 2024,24,Festuca,Fe.72,9.69
September 16. 2024,25,Festuca,Fe.73,16.61
September 16. 2024,25,Festuca,Fe.74,7.07
September 16. 2024,25,Festuca,Fe.75,12.23
September 16. 2024,26,Festuca,Fe.76,30.26
September 16. 2024,26,Festuca,Fe.77,8.94
September 16. 2024,26,Festuca,Fe.78,10.98
September 16. 2024,27,Festuca,Fe.79,5.33
September 16. 2024,27,Festuca,Fe.80,25.16
September 16. 2024,27,Festuca,Fe.81,3.79
September 16. 2024,28,Festuca,Fe.82,28.22
September 16. 2024,28,Festuca,Fe.83,8.42
September 16. 2024,28,Festuca,Fe.84,35.46
