Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
B02,Absolute Quantification,,M2:448,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,14259,,,,,,14259,,,,,,,,,,,,,,,,,,1,1,0,0,27.963,27.963,,,,,,,,,,,,,,,,,,
B03,Absolute Quantification,,M2:720,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,7411,,,,,,7411,,,,,,,,,,,,,,,,,,1,1,0,0,1142.1,1142.1,,,,,,,,,,,,,,,,,,
C02,Absolute Quantification,,M3:448,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,12678,,,,,,12678,,,,,,,,,,,,,,,,,,1,1,0,0,27.83,27.83,,,,,,,,,,,,,,,,,,
C03,Absolute Quantification,,M3:720,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,8948,,,,,,8948,,,,,,,,,,,,,,,,,,1,1,0,0,1125.5,1125.5,,,,,,,,,,,,,,,,,,
D02,Absolute Quantification,,M4:448,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,9961,,,,,,9961,,,,,,,,,,,,,,,,,,1,1,0,0,27.86,27.86,,,,,,,,,,,,,,,,,,
D03,Absolute Quantification,,M4:720,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,7304,,,,,,7304,,,,,,,,,,,,,,,,,,1,1,0,0,1149.3,1149.3,,,,,,,,,,,,,,,,,,
E02,Absolute Quantification,,M5:448,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,5943,,,,,,5943,,,,,,,,,,,,,,,,,,1,1,0,0,27.855,27.855,,,,,,,,,,,,,,,,,,
E03,Absolute Quantification,,M5:720,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,9498,,,,,,9498,,,,,,,,,,,,,,,,,,1,1,0,0,1143.1,1143.1,,,,,,,,,,,,,,,,,,
F02,Absolute Quantification,,M6:448,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,5741,,,,,,5741,,,,,,,,,,,,,,,,,,1,1,0,0,26.907,26.907,,,,,,,,,,,,,,,,,,
F03,Absolute Quantification,,M6:720,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,9801,,,,,,9801,,,,,,,,,,,,,,,,,,1,1,0,0,1143.6,1143.6,,,,,,,,,,,,,,,,,,
G02,Absolute Quantification,,P:448A,Ch1Positive Control,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,4241,,,,,,4241,,,,,,,,,,,,,,,,,,1,1,0,0,36.281,36.281,,,,,,,,,,,,,,,,,,
G03,Absolute Quantification,,P:720A,Ch1Positive Control,FAM,OK,216,ddPCR Supermix for Probes (no dUTP),4320,,,226,206,1900,9423,,,,,,11323,,,,,,,,,,,,,,,,,,1,1,1678,5323.8,1129.1,1833,,,,,221.1,211.1,,,,,,,,,,,,
H02,Absolute Quantification,,P:448A,Ch1Positive Control,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,2738,,,,,,2738,,,,,,,,,,,,,,,,,,1,1,0,0,29.884,29.884,,,,,,,,,,,,,,,,,,
H03,Absolute Quantification,,P:720B,Ch1Positive Control,FAM,OK,213,ddPCR Supermix for Probes (no dUTP),4260,,,223,204,1864,9371,,,,,,11235,,,,,,,,,,,,,,,,,,1,1,1894,5389.3,1123.2,1831,,,,,218.4,208.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*all negatives were above 10,000 droplets and negative:re-download from the computer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* repeat 197198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
